iter	Passed	Remaining
0	153	153648
1	165	82804
2	167	55749
3	169	42123
4	171	34068
5	172	28540
6	173	24588
7	174	21627
8	175	19319
9	176	17471
10	177	15953
11	179	14751
12	180	13719
13	181	12803
14	182	11999
15	185	11436
16	187	10816
17	187	10248
18	188	9736
19	189	9275
20	190	8859
21	190	8479
22	191	8135
23	193	7852
24	194	7601
25	195	7336
26	197	7111
27	198	6877
28	198	6659
29	199	6455
30	200	6264
31	201	6083
32	201	5919
33	202	5762
34	203	5612
35	204	5470
36	204	5334
37	208	5284
38	209	5164
39	210	5053
40	212	4973
41	213	4870
42	214	4769
43	215	4673
44	215	4579
45	216	4491
46	217	4406
47	218	4324
48	219	4267
49	221	4207
50	222	4137
51	223	4068
52	224	4009
53	225	3945
54	226	3883
55	226	3825
56	227	3765
57	228	3708
58	229	3653
59	229	3600
60	230	3548
61	231	3498
62	232	3450
63	232	3403
64	237	3410
65	237	3366
66	238	3323
67	239	3289
68	241	3253
69	242	3215
70	242	3176
71	243	3138
72	244	3102
73	245	3069
74	246	3034
75	246	3001
76	247	2969
77	248	2943
78	249	2912
79	250	2882
80	251	2852
81	252	2825
82	252	2793
83	254	2772
84	255	2746
85	256	2720
86	257	2697
87	257	2673
88	258	2649
89	259	2625
90	260	2603
91	261	2583
92	266	2597
93	267	2577
94	269	2567
95	271	2552
96	271	2532
97	272	2512
98	273	2491
99	274	2470
100	275	2450
101	276	2431
102	277	2414
103	279	2407
104	280	2392
105	281	2375
106	283	2362
107	283	2345
108	284	2328
109	285	2310
110	286	2294
111	287	2277
112	288	2261
113	289	2246
114	289	2231
115	290	2215
116	292	2205
117	293	2191
118	294	2177
119	294	2162
120	295	2147
121	297	2139
122	299	2132
123	300	2121
124	301	2107
125	301	2094
126	302	2080
127	303	2067
128	304	2054
129	305	2042
130	306	2034
131	308	2027
132	309	2016
133	310	2005
134	311	1997
135	312	1985
136	313	1974
137	314	1964
138	315	1954
139	316	1943
140	317	1933
141	317	1921
142	318	1911
143	319	1900
144	324	1912
145	325	1903
146	326	1895
147	328	1888
148	329	1880
149	330	1871
150	331	1862
151	332	1853
152	333	1844
153	334	1835
154	335	1827
155	336	1821
156	337	1813
157	338	1805
158	339	1797
159	341	1794
160	342	1784
161	343	1776
162	344	1768
163	345	1759
164	346	1751
165	346	1743
166	347	1734
167	348	1726
168	349	1719
169	354	1728
170	355	1721
171	356	1717
172	358	1713
173	359	1706
174	360	1699
175	361	1692
176	362	1684
177	363	1677
178	364	1669
179	365	1664
180	367	1663
181	368	1658
182	370	1653
183	371	1648
184	372	1641
185	373	1636
186	375	1630
187	376	1626
188	377	1620
189	383	1635
190	386	1635
191	387	1629
192	388	1623
193	389	1617
194	390	1611
195	391	1605
196	392	1601
197	394	1597
198	395	1592
199	396	1587
200	398	1583
201	399	1577
202	400	1571
203	401	1565
204	402	1560
205	403	1554
206	404	1548
207	405	1542
208	406	1536
209	407	1534
210	409	1531
211	410	1526
212	411	1521
213	413	1519
214	415	1515
215	416	1510
216	417	1505
217	418	1501
218	419	1495
219	420	1490
220	422	1488
221	423	1484
222	424	1480
223	426	1475
224	428	1474
225	429	1469
226	430	1464
227	431	1459
228	432	1454
229	433	1449
230	434	1444
231	435	1440
232	440	1450
233	441	1446
234	443	1444
235	445	1442
236	446	1437
237	447	1433
238	448	1428
239	449	1423
240	450	1419
241	452	1416
242	454	1416
243	455	1412
244	457	1410
245	458	1406
246	459	1401
247	460	1397
248	462	1394
249	463	1390
250	464	1385
251	469	1394
252	471	1391
253	473	1389
254	474	1386
255	475	1381
256	476	1377
257	477	1373
258	478	1369
259	480	1366
260	481	1364
261	483	1362
262	485	1359
263	486	1357
264	488	1353
265	489	1350
266	490	1347
267	492	1343
268	493	1340
269	498	1347
270	499	1344
271	502	1344
272	503	1341
273	505	1339
